Location,Airport,IATA,ICAO
Campo Grande,Campo Grande International Airport,CGR,SBCG
Cuiabá,Marechal Rondon International Airport,CGB,SBCY
Curitiba,Afonso Pena International Airport,CWB,SBCT
Florianópolis,Hercílio Luz International Airport,FLN,SBFL
Fortaleza,Pinto Martins International Airport,FOR,SBFZ
Foz do Iguaçu,Foz do Iguaçu International Airport,IGU,SBFI
Goiânia,Santa Genoveva Airport,GYN,SBGO
João Pessoa,Presidente Castro Pinto International Airport,JPA,SBJP
Maceió,Zumbi dos Palmares International Airport,MCZ,SBMO
Manaus,Eduardo Gomes International Airport,MAO,SBEG
Natal,Greater Natal International Airport,NAT,SBNT
Petrolina,Petrolina Airport,PNZ,SBPL
Porto Alegre,Salgado Filho Porto Alegre International Airport,POA,SBPA
Porto Velho,Governador Jorge Teixeira de Oliveira International Airport,PVH,SBPV
Recife,Guararapes International Airport,REC,SBRF
Rio Branco,Rio Branco International Airport,RBR,SBRB
Rio de Janeiro,Rio de Janeiro/Galeão International Airport,GIG,SBGL
Rio de Janeiro,Santos Dumont Airport,SDU,SBRJ
Salvador,Deputado Luís Eduardo Magalhães International Airport,SSA,SBSV
São Luís,Marechal Cunha Machado International Airport,SLZ,SBSL
São Paulo,São Paulo–Congonhas Airport,CGH,SBSP
São Paulo,São Paulo/Guarulhos International Airport,GRU,SBGR
Teresina,Teresina Airport,THE,SBTE
Uberlândia,Uberlândia Airport,UDI,SBUL
Vitória,Eurico de Aguiar Salles Airport,VIX,SBVT
Antofagasta,Andrés Sabella Gálvez International Airport,ANF,SCFA
Concepción,Carriel Sur International Airport,CCP,SCIE
Puerto Montt,El Tepual International Airport,PMC,SCTE
Punta Arenas,Presidente Carlos Ibáñez del Campo International Airport,PUQ,SCCI
Santiago,Arturo Merino Benítez International Airport,SCL,SCEL
Armenia,El Edén International Airport,AXM,SKAR
Barranquilla,Ernesto Cortissoz International Airport,BAQ,SKBQ
Bogotá,El Dorado International Airport,BOG,SKBO
Bucaramanga,Palonegro International Airport,BGA,SKBG
Buenaventura,Gerardo Tobar López Airport,BUN,SKBU
Cali,Alfonso Bonilla Aragón International Airport,CLO,SKCL
Cartagena,Rafael Núñez International Airport,CTG,SKCG
Cúcuta,Camilo Daza International Airport,CUC,SKCC
Ibagué,Perales Airport,IBE,SKIB
Ipiales,San Luis Airport,IPI,SKIP
Florencia,Gustavo Artunduaga Paredes Airport,FLA,SKFL
Leticia,Alfredo Vásquez Cobo International Airport,LET,SKLT
Maicao,Jorge Isaacs Airport,MCJ,SKLM
Manizales,La Nubia Airport,MZL,SKMZ
Medellín,José María Córdova International Airport,MDE,SKRG
Mitú,Fabio Alberto León Bentley Airport,MVP,SKMU
Montería,Los Garzones Airport,MTR,SKMR
Neiva,Benito Salas Airport,NVA,SKNV
Pasto,Antonio Nariño Airport,PSO,SKPS
Pereira,Matecaña International Airport,PEI,SKPE
Popayán,Guillermo León Valencia Airport,PPN,SKPP
Providence Island,El Embrujo Airport,PVA,SKPV
Quibdó,El Caraño Airport,UIB,SKUI
Riohacha,Almirante Padilla Airport,RCH,SKRH
San Andrés,Gustavo Rojas Pinilla International Airport,ADZ,SKSP
Tolú,Golfo de Morrosquillo Airport,TLU,SKTL
Tumaco,La Florida Airport,TCO,SKCO
Santa Marta,Simón Bolívar International Airport,SMR,SKSM
Sincelejo,Las Brujas Airport,CZU,SKCZ
Valledupar,Alfonso López Pumarejo Airport,VUP,SKVP
Villavicencio,La Vanguardia Airport,VVC,SKVV
Yopal,El Alcaraván Airport,EYP,SKYP
Cuenca,Mariscal Lamar International Airport,CUE,SECU
Esmeraldas,Carlos Concha Torres International Airport,ESM,SETN
Guayaquil,José Joaquín de Olmedo International Airport,GYE,SEGU
Machala,Santa Rosa International Airport,ETR,SERO
Manta,Eloy Alfaro International Airport,MEC,SEMT
Quito,Mariscal Sucre International Airport,UIO,SEQM
Tulcán,Teniente Coronel Luis a Mantilla International Airport,TUA,SETU
Mount Pleasant,RAF Mount Pleasant,MPN,EGYP
Cayenne,Cayenne – Félix Eboué Airport,CAY,SOCA
Georgetown,Cheddi Jagan International Airport,GEO,SYCJ
Asunción,Silvio Pettirossi International Airport,ASU,SGAS
Ciudad del Este,Guaraní International Airport,AGT,SGES
Arequipa,Rodríguez Ballón International Airport,AQP,SPQU
Chiclayo,José Quiñones González International Airport,CIX,SPHI
Cusco,Alejandro Velasco Astete International Airport,CUZ,SPZO
Lima,Jorge Chávez International Airport,LIM,SPJC
Trujillo,Carlos Martínez de Pinillos International Airport,TRU,SPRU
Paramaribo,Johan Adolf Pengel International Airport,PBM,SMJP
Montevideo,Carrasco International Airport,MVD,SUMU
Punta del Este,Capitán de Corbeta Carlos A. Curbelo International Airport,PDP,SULS
Rivera,Rivera International Airport,RVY,SURV
Caracas,Simón Bolívar International Airport,CCS,SVMI
Maracaibo,La Chinita International Airport,MAR,SVMC
Valencia,Arturo Michelena International Airport,VLN,SVVA
Aktau,Aktau Airport,SCO,UATE
Aktobe,Aktobe International Airport,AKX,UATT
Almaty,Almaty International Airport,ALA,UAAA
Astana,Nursultan Nazarbayev International Airport,NQZ,UACC
Atyrau,Atyrau Airport,GUW,UATG
Karaganda,Karaganda Airport,KGF,UAKK
Kokshetau,Kokshetau Airport,KOV,UACK
Kostanay,Kostanay Airport,KSN,UAUU
Kyzylorda,Kyzylorda Airport,KZO,UAOO
Oral,Oral Ak Zhol Airport,URA,UARR
Oskemen,Oskemen Airport,UKK,UASK
Pavlodar,Pavlodar Airport,PWQ,UASP
Petropavl,Petropavl Airport,PPK,UACP
Semey,Semey Airport,PLX,UASS
Şymkent,Şymkent International Airport,CIT,UAII
Taraz,Taraz Airport,DMB,UADD
Bishkek,Manas International Airport,FRU,UCFM
Issyk-Kul,Issyk-Kul International Airport,IKU,UCFL
Karakol,Karakol International Airport,,
Osh,Osh Airport,OSS,UCFO
Bokhtar,Bokhtar International Airport,KQT,UTDT
Dushanbe,Dushanbe Airport,DYU,UTDD
Khujand,Khujand Airport,LBD,UTDL
Kulob,Kulob Airport,TJU,UTDK
Ashgabat,Ashgabat Airport,ASB,UTAA
Daşoguz,Daşoguz Airport,TAZ,UTAT
Mary,Mary International Airport,MYP,UTAM
Türkmenabat,Turkmenabat International Airport,CRZ,UTAV
Turkmenbashi,Turkmenbashi International Airport,KRW,UTAK
Andijan,Andizhan Airport,AZN,UTKA
Bukhara,Bukhara International Airport,BHK,UTSB
Fergana,Fergana International Airport,FEG,UTKF
Qarshi,Karshi Airport,KSQ,UTSK
Namangan,Namangan Airport,NMA,UTKN
Navoiy,Navoiy International Airport,NVI,UTSA
Nukus,Nukus Airport,NCU,UTNN
Samarkand,Samarkand International Airport,SKD,UTSS
Tashkent,Islam Karimov Tashkent International Airport,TAS,UTTT
Termez,Termez Airport,TMJ,UTST
Urgench,Urgench International Airport,UGC,UTNU
Baotou,Baotou Donghe Airport,BAV,ZBOW
Beihai,Beihai Fucheng Airport,BHY,ZGBH
Beijing,Beijing Capital International Airport,PEK,ZBAA
Beijing,Beijing Daxing International Airport,PKX,ZBAD
Changchun,Changchun Longjia International Airport,CGQ,ZYCC
Changsha,Changsha Huanghua International Airport,CSX,ZGHA
Changzhou,Changzhou Benniu International Airport,CZX,ZSCG
Chengdu,Chengdu Shuangliu International Airport,CTU,ZUUU
Chengdu,Chengdu Tianfu International Airport,TFU,ZUTF
Chongqing,Chongqing Jiangbei International Airport,CKG,ZUCK
Dalian,Dalian Zhoushuizi International Airport,DLC,ZYTL
Dandong,Dandong Langtou Airport,DDG,ZYDD
Datong,Datong Yungang Airport,DAT,ZBDT
Dunhuang,Dunhuang Mogao International Airport,DNH,ZLDH
Enshi City,Enshi Xujiaping Airport,ENH,ZHES
Fuzhou,Fuzhou Changle International Airport,FOC,ZSFZ
Ganzhou,Ganzhou Huangjin Airport,KOW,ZSGZ
Guangzhou,Guangzhou Baiyun International Airport,CAN,ZGGG
Guilin,Guilin Liangjiang International Airport,KWL,ZGKL
Guiyang,Guiyang Longdongbao International Airport,KWE,ZUGY
Haikou,Haikou Meilan International Airport,HAK,ZJHK
Hangzhou,Hangzhou Xiaoshan International Airport,HGH,ZSHC
Harbin,Harbin Taiping International Airport,HRB,ZYHB
Hefei,Hefei Xinqiao International Airport,HFE,ZSOF
Heihe,Heihe Aihui Airport,HEK,ZYHE
Hohhot,Hohhot Baita International Airport,HET,ZBHH
Huai'an,Huai'an Lianshui International Airport,HIA,ZSSH
Huangshan City,Huangshan Tunxi International Airport,TXN,ZSTX
Hulunbuir,Hulunbuir Hailar Airport,HLD,ZBLA
Jiamusi,Jiamusi Dongjiao Airport,JMU,ZYJM
Jieyang,Jieyang Chaoshan International Airport,SWA,ZGOW
Jinan,Jinan Yaoqiang International Airport,TNA,ZSJN
Kunming,Kunming Changshui International Airport,KMG,ZPPP
Lanzhou,Lanzhou Zhongchuan International Airport,LHW,ZLLL
Lhasa,Lhasa Gonggar Airport,LXA,ZULS
Lianyungang,Lianyungang Baitabu Airport,LYG,ZSLG
Lijiang,Lijiang Sanyi International Airport,LJG,ZPLJ
Linyi,Linyi Qiyang Airport,LYI,ZSLY
Luoyang,Luoyang Beijiao Airport,LYA,ZHLY
Mangshi,Dehong Mangshi Airport,LUM,ZPLX
Manzhouli,Manzhouli Xijiao Airport,NZH,ZBMZ
Mudanjiang,Mudanjiang Hailang International Airport,MDG,ZYMD
Nanchang,Nanchang Changbei International Airport,KHN,ZSCN
Nanjing,Nanjing Lukou International Airport,NKG,ZSNJ
Nanning,Nanning Wuxu International Airport,NNG,ZGNN
Nantong,Nantong Xingdong International Airport,NTG,ZSNT
Ningbo,Ningbo Lishe International Airport,NGB,ZSNB
Ordos City,Ordos Ejin Horo International Airport,DSN,ZBDS
Qingdao,Qingdao Jiaodong International Airport,TAO,ZSQD
Qinhuangdao,Qinhuangdao Beidaihe Airport,BPE,ZBDH
Qionghai,Qionghai Bo'ao International Airport,BAR,ZJQH
Qiqihar,Qiqihar Sanjiazi Airport,NDG,ZYQQ
Quanzhou,Quanzhou Jinjiang International Airport,JJN,ZSQZ
Sanya,Sanya Phoenix International Airport,SYX,ZJSY
Shanghai,Shanghai Hongqiao International Airport,SHA,ZSSS
Shanghai,Shanghai Pudong International Airport,PVG,ZSPD
Shenyang,Shenyang Taoxian International Airport,SHE,ZYTX
Shenzhen,Shenzhen Bao'an International Airport,SZX,ZGSZ
Shijiazhuang,Shijiazhuang Zhengding International Airport,SJW,ZBSJ
Taiyuan,Taiyuan Wusu International Airport,TYN,ZBYN
Tianjin,Tianjin Binhai International Airport,TSN,ZBTJ
Ulanqab,Ulanqab Jining Airport,UCB,ZBUC
Ürümqi,Ürümqi Diwopu International Airport,URC,ZWWW
Wanzhou,Wanzhou Wuqiao Airport,WXN,ZUWX
Weihai,Weihai Dashuibo Airport,WEH,ZSWH
Wenzhou,Wenzhou Yongqiang Airport,WNZ,ZSWZ
Wuhan,Wuhan Tianhe International Airport,WUH,ZHHH
Wuxi,Sunan Shuofang International Airport,WUX,ZSWX
Wuyishan,Wuyishan Airport,WUS,ZSWY
Xiamen,Xiamen Gaoqi International Airport,XMN,ZSAM
Xi'an,Xi'an Xianyang International Airport,XIY,ZLXY
Xining,Xining Caojiabao International Airport,XNN,ZLXN
Xinzhou,Xinzhou Wutaishan Airport,WUT,ZBXZ
Xishuangbanna,Xishuangbanna Gasa International Airport,JHG,ZPJH
Xuzhou,Xuzhou Guanyin Airport,XUZ,ZSXZ
Yancheng,Yancheng Nanyang Airport,YNZ,ZSYN
Yangzhou,Yangzhou Taizhou International Airport,YTY,ZSYA
Yanji,Yanji Airport,YNJ,ZYYJ
Yantai,Yantai Penglai International Airport,YNT,ZSYT
Yichang,Yichang Sanxia Airport,YIH,ZHYC
Yinchuan,Yinchuan Hedong International Airport,INC,ZLIC
Yiwu,Yiwu Airport,YIW,ZSYW
Yuncheng,Yuncheng Guangong Airport,YCU,ZBYC
Zhangjiajie,Zhangjiajie Hehua Airport,DYG,ZGDY
Zhanjiang,Zhanjiang Wuchuan Airport,ZHA,ZGZJ
Zhengzhou,Zhengzhou Xinzheng International Airport,CGO,ZHCC
Zhuhai,Zhuhai Jinwan Airport,ZUH,ZGSD
Zunyi,Zunyi Xinzhou Airport,ZYI,ZUZY
Chek Lap Kok,Hong Kong International Airport,HKG,VHHH
Akita,Akita Airport,AXT,RJSK
Aomori,Aomori Airport,AOJ,RJSA
Fukuoka,Fukuoka Airport,FUK,RJFF
Hakodate,Hakodate Airport,HKD,RJCH
Hiroshima,Hiroshima Airport,HIJ,RJOA
Kagoshima,Kagoshima Airport,KOJ,RJFK
Kitakyushu,Kitakyushu Airport,KKJ,RJFR
Komatsu,Komatsu Airport,KMQ,RJNK
Nagasaki,Nagasaki Airport,NGS,RJFU
Nagoya,Chubu Centrair International Airport,NGO,RJGG
Naha,Naha Airport,OKA,ROAH
Niigata,Niigata Airport,KIJ,RJSN
Ōita,Oita Airport,OIT,RJFO
Okayama,Okayama Airport,OKJ,RJOB
Osaka,Kansai International Airport,KIX,RJBB
Sapporo,New Chitose Airport,CTS,RJCC
Sendai,Sendai Airport,SDJ,RJSS
Shizuoka,Shizuoka Airport,FSZ,RJNS
Tokyo,Haneda Airport,HND,RJTT
Tokyo,Narita International Airport,NRT,RJAA
Taipa,Macau International Airport,MFM,VMMC
Ulaanbaatar,Chinggis Khaan International Airport,UBN,ZMCK
Pyongyang,Pyongyang International Airport,FNJ,ZKPY
Busan,Gimhae International Airport,PUS,RKPK
Cheongju,Cheongju International Airport,CJJ,RKTU
Daegu,Daegu International Airport,TAE,RKTN
Jeju,Jeju International Airport,CJU,RKPC
Muan,Muan International Airport,MWX,RKJB
Seoul,Gimpo International Airport,GMP,RKSS
Seoul,Incheon International Airport,ICN,RKSI
Yangyang,Yangyang International Airport,YNY,RKNY
Hualien City,Hualien Airport,HUN,RCYU
Kaohsiung,Kaohsiung International Airport,KHH,RCKH
Taichung,Taichung International Airport,RMQ,RCMQ
Tainan,Tainan Airport,TNN,RCNN
Taipei,Taipei Songshan Airport,TSA,RCSS
Taipei,Taoyuan International Airport,TPE,RCTP
Barishal,Barisal Airport,BZL,VGBR
Chittagong,Shah Amanat International Airport,CGP,VGEG
Cox's Bazar,Cox's Bazar International Airport,CXB,VGCB
Dhaka,Hazrat Shahjalal International Airport,DAC,VGHS
Khulna,Khan Jahan Ali Airport,KLN,PALB
Rajshahi,Shah Makhdum Airport,RJH,VGRJ
Rangpur,Saidpur Airport,SPD,VGSD
Sylhet,Osmani International Airport,ZYL,VGSY
Paro,Paro International Airport,PBH,VQPR
Agartala,Maharaja Bir Bikram Airport,IXA,VEAT
Ahmedabad,Sardar Vallabhbhai Patel International Airport,AMD,VAAH
Amritsar,Sri Guru Ram Das Ji International Airport,ATQ,VIAR
Ayodhya,"Maharishi Valmiki International Airport, Ayodhya Dham",AYJ,VEAY
Bengaluru,Kempegowda International Airport,BLR,VOBL
Bhopal,Raja Bhoj Airport,BHO,VABP
Bhubaneswar,Biju Patnaik International Airport,BBI,VEBS
Chennai,Chennai International Airport,MAA,VOMM
Coimbatore,Coimbatore International Airport,CJB,VOCB
Delhi NCR,Indira Gandhi International Airport,DEL,VIDP
Gaya,Gaya Airport,GAY,VEGY
Guwahati,Lokpriya Gopinath Bordoloi International Airport,GAU,VEGT
Hyderabad,Rajiv Gandhi International Airport,HYD,VOHS
Imphal,Imphal Airport,IMF,VEIM
Indore,Devi Ahilya Bai Holkar Airport,IDR,VAID
Jaipur,Jaipur International Airport,JAI,VIJP
Jammu,Jammu Airport,IXJ,VIJU
Kannur,Kannur International Airport,CNN,VOKN
Kochi,Cochin International Airport,COK,VOCI
Kolkata,Netaji Subhas Chandra Bose International Airport,CCU,VECC
Kozhikode,Calicut International Airport,CCJ,VOCL
Lucknow,Chaudhary Charan Singh Airport,LKO,VILK
Madurai,Madurai Airport,IXM,VOMD
Mangaluru,Mangaluru International Airport,IXE,VOML
Mumbai,Chhatrapati Shivaji Maharaj International Airport,BOM,VABB
Nagpur,Dr. Babasaheb Ambedkar International Airport,NAG,VANP
Nashik,Nashik Airport,ISK,VAOZ
Navi Mumbai,Navi Mumbai International Airport,NMI,VANM
Noida (Delhi NCR),Noida International Airport,JWR,
North Goa,Manohar International Airport,GOX,VOGA
Pune,Pune Airport,PNQ,VAPO
Ranchi,Birsa Munda Airport,IXR,VERC
Siliguri,Bagdogra International Airport,IXB,VEBD
South Goa,Dabolim Airport,GOI,VOGO
Srinagar,Srinagar Airport,SXR,VISR
Surat,Surat Airport,STV,VASU
Thiruvananthapuram,Trivandrum International Airport,TRV,VOTV
Tiruchirappalli,Tiruchirappalli International Airport,TRZ,VOTR
Tirupati,Tirupati International Airport,TIR,VOTP
Vadodara,Vadodara Airport,BDQ,VABO
Varanasi,Lal Bahadur Shastri Airport,VNS,VEBN
Vijayawada,Vijayawada International Airport,VGA,VOBZ
Visakhapatnam,Visakhapatnam International Airport,VTZ,VOVZ
Addu City,Gan International Airport,GAN,VRMG
Hanimaadhoo,Hanimaadhoo International Airport,HAQ,VRMH
Malé,Velana International Airport,MLE,VRMM
Maafaru,Maafaru International Airport,NMF,VRDA
Maamigili,Villa International Airport Maamigili,VAM,VRMV
Kathmandu,Tribhuvan International Airport,KTM,VNKT
Pokhara,Pokhara Regional International Airport,PKR,VNPK
Siddharthanagar,Gautam Buddha International Airport,BWA,VNBW
Bahawalpur,Bahawalpur Airport,BHV,OPBW
Faisalabad,Faisalabad International Airport,LYP,OPFA
Gwadar,Gwadar International Airport,GWD,OPGD
Islamabad,Islamabad International Airport,ISB,OPIS
Karachi,Jinnah International Airport,KHI,OPKC
Lahore,Allama Iqbal International Airport,LHE,OPLA
Multan,Multan International Airport,MUX,OPMT
Peshawar,Bacha Khan International Airport,PEW,OPPS
Quetta,Quetta International Airport,UET,OPQT
Rahim Yar Khan,Shaikh Zayed International Airport,RYK,OPRK
Sialkot,Sialkot International Airport,SKT,OPST
Turbat,Turbat International Airport,TUK,OPTU
Batticaloa,Batticaloa International Airport,BTC,VCCB
Colombo,Bandaranaike International Airport,CMB,VCBI
Colombo,Ratmalana Airport,RML,VCCC
Hambantota,Mattala Rajapaksa International Airport,HRI,VCRI
Jaffna,Jaffna International Airport,JAF,VCCJ
Bandar Seri Begawan,Brunei International Airport,BWN,WBSB
Phnom Penh,Phnom Penh International Airport,PNH,VDPP
Siem Reap,Siem Reap International Airport,REP, VDSR
Sihanoukville,Sihanouk International Airport,KOS,VDSV
Balikpapan,Sultan Aji Muhammad Sulaiman Sepinggan International Airport,BPN,WALL
Banda Aceh,Sultan Iskandar Muda International Airport,BTJ,WITT
Bandung,Kertajati International Airport,KJT,WICA
Batam,Hang Nadim International Airport,BTH,WIDD
Denpasar,I Gusti Ngurah Rai International Airport,DPS,WADD
Jakarta,Halim Perdanakusuma International Airport,HLP,WIHH
Jakarta,Soekarno–Hatta International Airport,CGK,WIII
Jayapura,Sentani International Airport,DJJ,WAJJ
Labuan Bajo,Komodo International Airport,LBJ,WATO
Makassar,Sultan Hasanuddin International Airport,UPG,WAAA
Manado,Sam Ratulangi International Airport,MDC,WAMM
Mataram,Lombok International Airport,LOP,WADL
Medan,Kualanamu International Airport,KNO,WIMM
Padang,Minangkabau International Airport,PDG,WIEE
Palembang,Sultan Mahmud Badaruddin II International Airport,PLM,WIPP
Pekanbaru,Sultan Syarif Kasim II International Airport,PKU,WIBB
Pontianak,Supadio International Airport,PNK,WIOO
Semarang,Jenderal Ahmad Yani International Airport,SRG,WARS
Surabaya,Juanda International Airport,SUB,WARR
Tanjungpandan,H.A.S. Hanandjoeddin International Airport,TJQ,WIOD
Yogyakarta,Yogyakarta International Airport,YIA,WAHI
Bokeo (Tonpheung district),Bokeo International Airport,BOR,LYBO
Luang Prabang,Luang Prabang International Airport,LPQ,VLLB
Pakse,Pakse International Airport,PKZ,VLPS
Savannakhet,Savannakhet Airport,ZVK,VLSK
Vientiane,Wattay International Airport,VTE,VLVT
Alor Setar,Sultan Abdul Halim Airport,AOR,WMKA
Ipoh,Sultan Azlan Shah Airport,IPH,WMKI
Johor Bahru,Senai International Airport,JHB,WMKJ
Kota Bharu,Sultan Ismail Petra Airport,KBR,WMKC
Kota Kinabalu,Kota Kinabalu International Airport,BKI,WBKK
Kuala Lumpur,Kuala Lumpur International Airport,KUL,WMKK
Kuala Lumpur,Sultan Abdul Aziz Shah Airport,SZB,WMSA
Kuala Terengganu,Sultan Mahmud Airport,TGG,WMKN
Kuantan,Sultan Haji Ahmad Shah Airport,KUA,WMKD
Kuching,Kuching International Airport,KCH,WBGG
Labuan,Labuan International Airport,LBU,WBKL
Langkawi,Langkawi International Airport,LGK,WMKL
Penang,Penang International Airport,PEN,WMKP
Mandalay,Mandalay International Airport,MDL,VYMD
Nay Pyi Taw,Naypyidaw International Airport,NYT,VYEL
Yangon,Yangon International Airport,RGN,VYYY
Daraga,Bicol International Airport,DRP,RPLK
Cagayan,Cagayan North International Airport,LLC,
Lapu-Lapu City,Mactan–Cebu International Airport,CEB,RPVM
Angeles City,Clark International Airport,CRK,RPLC
Davao City,Francisco Bangoy International Airport,DVO,RPMD
General Santos,General Santos International Airport,GES,RPMR
Iloilo City,Iloilo International Airport,ILO,RPVI
Kalibo,Kalibo International Airport,KLO,RPVK
Laoag,Laoag International Airport,LAO,RPLI
Manila,Ninoy Aquino International Airport,MNL,RPLL
Panglao Island,Bohol–Panglao International Airport,TAG,RPSP
Puerto Princesa,Puerto Princesa International Airport,PPS,RPVP
Olongapo,Subic Bay International Airport,SFS,RPLB
Zamboanga City,Zamboanga International Airport,ZAM,RPMZ
Singapore,Changi Airport,SIN,WSSS
Singapore,Seletar Airport,XSP,WSSL
Bangkok,Suvarnabhumi Airport,BKK,VTBS
Bangkok,Don Mueang International Airport,DMK,VTBD
Chiang Mai,Chiang Mai International Airport,CNX,VTCC
Chiang Rai,Chiang Rai International Airport,CEI,VTCT
Hat Yai,Hat Yai International Airport,HDY,VTSS
Ko Samui,Samui Airport,USM,VTSM
Krabi,Krabi International Airport,KBV,VTSG
Phuket,Phuket International Airport,HKT,VTSP
Rayong/Pattaya,U-Tapao International Airport,UTP,VTBU
Surat Thani,Surat Thani International Airport,URT,VTSB
Udon Thani,Udon Thani International Airport,UTH,VTUD
Dili,Presidente Nicolau Lobato International Airport,DIL,WPDL
Đà Nẵng,Da Nang International Airport,DAD,VVDN
Hà Nội,Noi Bai International Airport,HAN,VVNB
Hồ Chí Minh City,Tan Son Nhat International Airport,SGN,VVTS
Cần Thơ,Can Tho International Airport,VCA,VVCT
Hải Phòng,Cat Bi International Airport,HPH,VVCI
Huế,Phu Bai International Airport,HUI,VVPB
Phú Quốc,Phu Quoc International Airport,PQC,VVPQ
Nha Trang,Cam Ranh International Airport,CXR,VVCR
Quảng Nam,Chu Lai Airport,VCL,VVCA
Vân Đồn,Van Don International Airport,VDO,VVVD
Kabul,Kabul International Airport,KBL,OAKB
Herat,Herat International Airport,HEA,OAHR
Kandahar,Kandahar International Airport,KDH,OAKN
Mazar-i-Sharif,Mazar-i-Sharif International Airport,MZR,OAMS
Gyumri,Gyumri Shirak International Airport,LWN,UDSG
Kapan,Syunik Airport,YUK,UDCK
Yerevan,Zvartnots International Airport,EVN,UDYZ
Baku,Heydar Aliyev International Airport,GYD,UBBB
Fuzuli,Fuzuli International Airport,FZL,UBBF
Ganja,Ganja International Airport,KVD,UBBG
Lachin,Lachin International Airport,LHL,
Lankaran,Lankaran International Airport,LLK,UBBL
Nakhchivan,Nakhchivan Airport,NAJ,UBBN
Qabala,Qabala International Airport,GBB,UBBQ
Zangilan,Zangilan International Airport,ZZE,UBBZ
Zaqatala,Zaqatala International Airport,ZTU,UBBY
Manama,Bahrain International Airport,BAH,OBBI
Larnaca,Larnaca International Airport,LCA,LCLK
North Nicosia,Ercan International Airport,ECN,LCEN
Paphos,Paphos International Airport,PFO,LCPH
Batumi,Batumi International Airport,BUS,UGSB
Kutaisi,Kutaisi International Airport,KUT,UGKO
Sokhumi,Sukhumi Babushara Airport,SUI,UGSS
Tbilisi,Tbilisi International Airport,TBS,UGTB
Abadan,Abadan International Airport,ABD,OIAA
Ahvaz,Ahvaz International Airport,AWZ,OIAW
Arak,Arak International Airport,AJK,OIHR
Ardabil,Ardabil Airport,ADU,OITL
Asaluyeh,Persian Gulf Airport,PGU,OIBP
Bandar Abbas,Bandar Abbas International Airport,BND,OIKB
Birjand,Birjand International Airport,XBJ,OIMB
Bushehr,Bushehr Airport,BUZ,OIBB
Gorgan,Gorgan International Airport,GBT,OING
Hamadan,Hamadan International Airport,HDM,OIHH
Ilam,Ilam Airport,IIL,OICI
Isfahan,Isfahan International Airport,IFN,OIFM
Kerman,Ayatollah Hashemi Rafsanjani Airport,KER,OIKK
Kermanshah,Shahid Ashrafi Esfahani Airport,KSH,OICC
Kish Island,Kish Airport,KIH,OIBK
Konarak,Chabahar Konarak Airport,ZBR,OIZC
Lamerd,Lamerd Airport,LFM,OISR
Lar,Larestan International Airport,LRR,OISL
Mashhad,Mashhad International Airport,MHD,OIMM
Qeshm Island,Qeshm International Airport,GSM,OIKQ
Rasht,Rasht Airport,RAS,OIGG
Sari,Dasht-e Naz Airport,SRY,OINZ
Shiraz,Shiraz International Airport,SYZ,OISS
Tabriz,Tabriz International Airport,TBZ,OITT
Tehran,Imam Khomeini International Airport,IKA,OIIE
Tehran,Mehrabad International Airport,THR,OIII
Urmia,Urmia Airport,OMH,OITR
Yazd,Shahid Sadooghi Airport,AZD,OIYY
Zahedan,Zahedan Airport,ZAH,OIZH
Al Najaf,Al Najaf International Airport,NJF,ORNI
Baghdad,Baghdad International Airport,BGW,ORBI
Basra,Basra International Airport,BSR,ORMM
Erbil,Erbil International Airport,EBL,ORER
Mosul,Mosul International Airport,OSM,ORBM
Nasiriyah,Nasiriyah Airport,XNH,ORTL
Sulaymaniyah,Sulaimaniyah International Airport,ISU,ORSU
Eilat,Ramon Airport,ETM,LLER
Haifa,Haifa Airport,HFA,LLHA
Tel Aviv,Ben Gurion Airport,TLV,LLBG
Aqaba,King Hussein International Airport,AQJ,OJAQ
Amman,Queen Alia International Airport,AMM,OJAI
Kuwait City,Kuwait International Airport,KWI,OKKK
Beirut,Beirut–Rafic Hariri International Airport,BEY,OLBA
Muscat,Muscat International Airport,MCT,OOMS
Salalah,Salalah International Airport,SLL,OOSA
Sohar,Sohar International Airport,OHS,OOSH
Doha,Hamad International Airport,DOH,OTHH
Abha,Abha International Airport,AHB,OEAB
Al-Ahsa,Al-Ahsa International Airport,HOF,OEAH
Al-Jawf,Al Jawf International Airport,AJF,OESK
Al-Ula,Al-Ula International Airport,ULH,OEAO
Buraydah,Prince Naif bin Abdulaziz International Airport,ELQ,OEGS
Dammam,King Fahd International Airport,DMM,OEDF
Hafar al-Batin,Al Qaisumah International Airport,AQI,OEPA
Ha'il,Ha'il International Airport,HAS,OEHL
Hanak,Red Sea International Airport,RSI,OERS
Jeddah,King Abdulaziz International Airport,JED,OEJN
Jizan,King Abdullah bin Abdulaziz International Airport,GIZ,OEGN
Medina,Prince Mohammad bin Abdulaziz International Airport,MED,OEMA
Najran,Najran Domestic Airport,EAM,OENG
Neom,Neom Bay Airport,NUM,OENN
Riyadh,King Khalid International Airport,RUH,OERK
Tabuk,Prince Sultan bin Abdulaziz Airport,TUU,OETB
Ta'if,Taif International Airport,TIF,OETF
Yanbu,Yanbu Airport,YNB,OEYN
Aleppo,Aleppo International Airport,ALP,OSAP
Damascus,Damascus International Airport,DAM,OSDI
Latakia,Bassel Al-Assad International Airport,LTK,OSLK
Qamishli,Qamishli Airport,KAC,OSKL
Adana,Şakirpaşa Airport,ADA,LTAF
