,Time (EDT)EDT,LatitudeLat,LongitudeLon,CourseDir,kts,mph,feet,Rate,Reporting Facility
40,Wed 02:16:46 AM02:16AM,26.453526.45,50.867550.87,↖ 320°,436,502,2170021700.0,1045.0,FlightAware ADS-B (BAH / OBBI)
41,Wed 02:17:16 AM02:17AM,26.502826.50,50.821450.82,↖ 320°,438,504,2222522225.0,975.0,FlightAware ADS-B (OBKH)
42,Wed 02:17:46 AM02:17AM,26.547126.55,50.779850.78,↖ 320°,443,510,2267522675.0,875.0,FlightAware ADS-B (BAH / OBBI)
43,Wed 02:18:16 AM02:18AM,26.593426.59,50.736250.74,↖ 320°,447,514,2310023100.0,875.0,FlightAware ADS-B (DHA / OEDR)
44,Wed 02:18:46 AM02:18AM,26.643126.64,50.689350.69,↖ 320°,451,519,2355023550.0,850.0,FlightAware ADS-B (BAH / OBBI)
45,Wed 02:19:16 AM02:19AM,26.691026.69,50.644350.64,↖ 320°,455,524,2395023950.0,811.0,FlightAware ADS-B (DHA / OEDR)
46,Wed 02:19:47 AM02:19AM,26.740226.74,50.597950.60,↖ 320°,460,529,2437524375.0,861.0,FlightAware ADS-B (BAH / OBBI)
47,Wed 02:20:17 AM02:20AM,26.790026.79,50.551050.55,↖ 320°,463,533,2482524825.0,850.0,FlightAware ADS-B (BAH / OBBI)
48,Wed 02:20:47 AM02:20AM,26.838826.84,50.504750.50,↖ 320°,465,535,2522525225.0,750.0,FlightAware ADS-B (DHA / OEDR)
49,Wed 02:21:17 AM02:21AM,26.888226.89,50.458050.46,↖ 320°,469,540,2557525575.0,750.0,FlightAware ADS-B (DHA / OEDR)
50,Wed 02:21:47 AM02:21AM,26.937626.94,50.411450.41,↖ 320°,473,544,2597525975.0,762.0,FlightAware ADS-B (DHA / OEDR)
51,Wed 02:22:18 AM02:22AM,26.990126.99,50.361850.36,↖ 320°,475,547,2635026350.0,762.0,FlightAware ADS-B (BAH / OBBI)
52,Wed 02:22:48 AM02:22AM,27.041527.04,50.313050.31,↖ 320°,478,550,2675026750.0,775.0,FlightAware ADS-B (BAH / OBBI)
53,Wed 02:23:18 AM02:23AM,27.092527.09,50.264650.26,↖ 320°,480,552,2712527125.0,713.0,FlightAware ADS-B (BAH / OBBI)
54,Wed 02:23:49 AM02:23AM,27.146027.15,50.214450.21,↖ 321°,485,558,2747527475.0,664.0,FlightAware ADS-B (ORUQ)
55,Wed 02:24:19 AM02:24AM,27.196827.20,50.170250.17,↖ 323°,487,560,2780027800.0,700.0,FlightAware ADS-B (DHA / OEDR)
56,Wed 02:24:49 AM02:24AM,27.255427.26,50.121650.12,↖ 324°,490,564,2817528175.0,650.0,FlightAware ADS-B (ORUQ)
57,Wed 02:25:19 AM02:25AM,27.309427.31,50.077150.08,↖ 324°,493,567,2845028450.0,577.0,FlightAware ADS-B (ORUQ)
58,Wed 02:25:54 AM02:25AM,27.370827.37,50.026350.03,↖ 323°,497,572,2880028800.0,662.0,FlightAware ADS-B (KWI / OKKK)
59,Wed 02:26:27 AM02:26AM,27.432427.43,49.972449.97,↖ 322°,500,575,2920029200.0,571.0,FlightAware ADS-B (KWI / OKKK)
60,Wed 02:26:57 AM02:26AM,27.487727.49,49.923149.92,↖ 322°,503,579,2940029400.0,460.0,FlightAware ADS-B (KWI / OKKK)
61,Wed 02:27:29 AM02:27AM,27.545827.55,49.871649.87,↖ 322°,507,583,2967529675.0,581.0,FlightAware ADS-B (KWI / OKKK)
62,Wed 02:27:59 AM02:27AM,27.602327.60,49.821649.82,↖ 322°,507,583,3000030000.0,287.0,FlightAware ADS-B (ORUQ)
63,Wed 02:28:37 AM02:28AM,27.672227.67,49.759949.76,↖ 322°,504,580,3000030000.0,,FlightAware ADS-B (KWI / OKKK)
64,Wed 02:29:07 AM02:29AM,27.725927.73,49.712449.71,↖ 322°,504,580,3000030000.0,,FlightAware ADS-B (KWI / OKKK)
65,Wed 02:29:37 AM02:29AM,27.781427.78,49.663449.66,↖ 322°,503,579,3000030000.0,,FlightAware ADS-B (KWI / OKKK)
66,Wed 02:30:08 AM02:30AM,27.837627.84,49.613449.61,↖ 322°,504,580,3000030000.0,,FlightAware ADS-B (KWI / OKKK)
67,Wed 02:30:38 AM02:30AM,27.893427.89,49.563549.56,↖ 322°,505,581,3000030000.0,,FlightAware ADS-B (KWI / OKKK)
68,Wed 02:31:09 AM02:31AM,27.949827.95,49.513149.51,↖ 322°,505,581,3000030000.0,,FlightAware ADS-B (KWI / OKKK)
69,Wed 02:31:39 AM02:31AM,28.005328.01,49.463349.46,↖ 321°,504,580,3000030000.0,,FlightAware ADS-B (KWI / OKKK)
70,Wed 02:32:09 AM02:32AM,28.059828.06,49.414349.41,↖ 321°,504,580,3000030000.0,,FlightAware ADS-B (KWI / OKKK)
71,Wed 02:32:39 AM02:32AM,28.112428.11,49.366249.37,↖ 321°,503,579,3000030000.0,,FlightAware ADS-B (KWI / OKKK)
72,Wed 02:33:10 AM02:33AM,28.168828.17,49.314649.31,↖ 321°,502,578,3000030000.0,,FlightAware ADS-B (KWI / OKKK)
73,Wed 02:33:40 AM02:33AM,28.224528.22,49.263649.26,↖ 321°,502,578,3000030000.0,,FlightAware ADS-B (KWI / OKKK)
74,Wed 02:34:10 AM02:34AM,28.277628.28,49.214949.21,↖ 321°,503,579,3000030000.0,,FlightAware ADS-B (KWI / OKKK)
75,Wed 02:34:44 AM02:34AM,28.341728.34,49.156149.16,↖ 321°,503,579,3000030000.0,,FlightAware ADS-B (ORUQ)
76,Wed 02:35:20 AM02:35AM,28.408428.41,49.098049.10,↖ 324°,501,577,3000030000.0,,FlightAware ADS-B (KWI / OKKK)
77,Wed 02:36:02 AM02:36AM,28.487828.49,49.035949.04,↖ 326°,501,577,3000030000.0,,FlightAware ADS-B (ORUQ)
78,Wed 02:36:32 AM02:36AM,28.544428.54,48.992548.99,↖ 326°,500,575,3000030000.0,,FlightAware ADS-B (ORUQ)
79,Wed 02:37:03 AM02:37AM,28.604128.60,48.946648.95,↖ 326°,499,574,3000030000.0,,FlightAware ADS-B (KWI / OKKK)
80,Wed 02:37:33 AM02:37AM,28.658828.66,48.904648.90,↖ 326°,498,573,3000030000.0,,FlightAware ADS-B (KWI / OKKK)
81,Wed 02:38:04 AM02:38AM,28.719228.72,48.858148.86,↖ 326°,497,572,3000030000.0,,FlightAware ADS-B (KWI / OKKK)
82,Wed 02:38:34 AM02:38AM,28.775528.78,48.814648.81,↖ 326°,497,572,3000030000.0,,FlightAware ADS-B (KWI / OKKK)
83,Wed 02:39:04 AM02:39AM,28.835628.84,48.768348.77,↖ 326°,496,571,3000030000.0,,FlightAware ADS-B (ORUQ)
84,Wed 02:39:34 AM02:39AM,28.891528.89,48.725648.73,↖ 326°,497,572,3000030000.0,,FlightAware ADS-B (KWI / OKKK)
85,Wed 02:40:04 AM02:40AM,28.946728.95,48.683448.68,↖ 326°,497,572,3000030000.0,,FlightAware ADS-B (KWI / OKKK)
86,Wed 02:40:34 AM02:40AM,29.005429.01,48.638348.64,↖ 326°,497,572,3000030000.0,,FlightAware ADS-B (KWI / OKKK)
87,Wed 02:41:04 AM02:41AM,29.061529.06,48.595248.60,↖ 326°,496,571,3000030000.0,,FlightAware ADS-B (KWI / OKKK)
88,Wed 02:41:34 AM02:41AM,29.119729.12,48.550348.55,↖ 326°,496,571,3000030000.0,,FlightAware ADS-B (KWI / OKKK)
89,Wed 02:42:04 AM02:42AM,29.175629.18,48.507148.51,↖ 326°,495,570,3000030000.0,,FlightAware ADS-B (KWI / OKKK)
90,Wed 02:42:35 AM02:42AM,29.235729.24,48.460748.46,↖ 326°,495,570,3000030000.0,,FlightAware ADS-B (KWI / OKKK)
91,Wed 02:43:05 AM02:43AM,29.292129.29,48.417148.42,↖ 326°,495,570,3000030000.0,,FlightAware ADS-B (KWI / OKKK)
92,Wed 02:43:35 AM02:43AM,29.348629.35,48.373348.37,↖ 326°,495,570,3000030000.0,,FlightAware ADS-B (KWI / OKKK)
93,Wed 02:44:05 AM02:44AM,29.405629.41,48.329348.33,↖ 327°,494,568,3000030000.0,,FlightAware ADS-B (KWI / OKKK)
94,Wed 02:44:35 AM02:44AM,29.466429.47,48.286048.29,↖ 329°,494,568,3000030000.0,,FlightAware ADS-B (AQI / OEPA)
95,Wed 02:45:06 AM02:45AM,29.526129.53,48.246248.25,↖ 330°,493,567,3000030000.0,,FlightAware ADS-B (KWI / OKKK)
96,Wed 02:45:36 AM02:45AM,29.585429.59,48.207148.21,↖ 330°,494,568,3000030000.0,,FlightAware ADS-B (KWI / OKKK)
97,Wed 02:46:06 AM02:46AM,29.645329.65,48.167748.17,↖ 330°,495,570,3000030000.0,,FlightAware ADS-B (KWI / OKKK)
98,Wed 02:46:36 AM02:46AM,29.704329.70,48.128848.13,↖ 330°,495,570,3000030000.0,,FlightAware ADS-B (KWI / OKKK)
99,Wed 02:47:07 AM02:47AM,29.766329.77,48.087948.09,↖ 330°,496,571,3000030000.0,,FlightAware ADS-B (KWI / OKKK)
100,Wed 02:47:37 AM02:47AM,29.825829.83,48.048448.05,↖ 330°,494,568,3000030000.0,,FlightAware ADS-B (KWI / OKKK)
101,Wed 02:48:11 AM02:48AM,29.892429.89,48.004348.00,↖ 330°,494,568,3000030000.0,,FlightAware ADS-B (KWI / OKKK)
102,Wed 02:48:41 AM02:48AM,29.951929.95,47.964847.96,↖ 330°,494,568,3000030000.0,,FlightAware ADS-B (KWI / OKKK)
103,Wed 02:49:07 AM02:49AM,30.004930.00,47.926447.93,↖ 324°,495,570,3000030000.0,,FlightAware ADS-B (ORUQ)
104,Wed 02:49:37 AM02:49AM,30.054530.05,47.874947.87,← 313°,494,568,3000030000.0,,FlightAware ADS-B (BSR / ORMM)
105,Wed 02:50:12 AM02:50AM,30.107030.11,47.805447.81,← 311°,492,566,3000030000.0,,FlightAware ADS-B (ORUQ)
106,Wed 02:50:50 AM02:50AM,30.163730.16,47.729547.73,← 311°,492,566,3000030000.0,,FlightAware ADS-B (ORUQ)
107,Wed 02:51:20 AM02:51AM,30.209330.21,47.668347.67,← 311°,490,564,3000030000.0,,FlightAware ADS-B (ORUQ)
108,Wed 02:51:51 AM02:51AM,30.253030.25,47.609747.61,← 311°,489,563,3000030000.0,,FlightAware ADS-B (ORUQ)
109,Wed 02:52:21 AM02:52AM,30.298130.30,47.549247.55,← 311°,488,562,3000030000.0,,FlightAware ADS-B (ORUQ)
110,Wed 02:52:57 AM02:52AM,30.350730.35,47.478747.48,← 311°,487,560,3000030000.0,,FlightAware ADS-B (AQI / OEPA)
111,Wed 02:53:27 AM02:53AM,30.396130.40,47.417647.42,← 311°,487,560,3000030000.0,,FlightAware ADS-B (AQI / OEPA)
112,Wed 02:53:57 AM02:53AM,30.439530.44,47.358947.36,← 311°,488,562,3000030000.0,,FlightAware ADS-B (AQI / OEPA)
113,Wed 02:54:27 AM02:54AM,30.484330.48,47.298547.30,← 311°,488,562,3000030000.0,,FlightAware ADS-B (ORUQ)
114,Wed 02:54:58 AM02:54AM,30.528030.53,47.239347.24,← 311°,488,562,3000030000.0,,FlightAware ADS-B (ORUQ)
115,Wed 02:55:37 AM02:55AM,30.584130.58,47.163547.16,← 311°,488,562,3000030000.0,,FlightAware ADS-B (KWI / OKKK)
116,Wed 02:56:13 AM02:56AM,30.636230.64,47.092747.09,← 310°,487,560,3000030000.0,,FlightAware ADS-B (KWI / OKKK)
117,Wed 02:56:48 AM02:56AM,30.687830.69,47.022647.02,← 310°,487,560,3000030000.0,,FlightAware ADS-B (KWI / OKKK)
118,Wed 02:57:18 AM02:57AM,30.731130.73,46.963646.96,← 310°,487,560,3000030000.0,,FlightAware ADS-B (KWI / OKKK)
119,Wed 02:57:48 AM02:57AM,30.775430.78,46.903346.90,← 310°,488,562,3000030000.0,,FlightAware ADS-B (KWI / OKKK)
120,Wed 02:58:18 AM02:58AM,30.819530.82,46.843146.84,← 310°,489,563,3000030000.0,,FlightAware ADS-B (KWI / OKKK)
121,Wed 02:58:49 AM02:58AM,30.865630.87,46.779946.78,← 310°,489,563,3000030000.0,,FlightAware ADS-B (KWI / OKKK)
122,Wed 02:59:19 AM02:59AM,30.910730.91,46.718246.72,← 310°,489,563,3000030000.0,,FlightAware ADS-B (ORUQ)
123,Wed 03:00:00 AM03:00AM,30.970530.97,46.636046.64,← 310°,488,562,3000030000.0,,FlightAware ADS-B (AQI / OEPA)
124,Wed 03:00:30 AM03:00AM,31.014731.01,46.575446.58,← 310°,490,564,3000030000.0,,FlightAware ADS-B (AQI / OEPA)
125,Wed 03:01:01 AM03:01AM,31.059031.06,46.514446.51,← 310°,490,564,3000030000.0,,FlightAware ADS-B (AQI / OEPA)
126,Wed 03:01:40 AM03:01AM,31.117731.12,46.433546.43,← 310°,491,565,3000030000.0,,FlightAware ADS-B (ORUQ)
127,Wed 03:02:18 AM03:02AM,31.171731.17,46.358846.36,← 310°,490,564,3000030000.0,,FlightAware ADS-B (KWI / OKKK)
128,Wed 03:02:52 AM03:02AM,31.225531.23,46.293246.29,↖ 317°,491,565,3000030000.0,,FlightAware ADS-B (ORUQ)
129,Wed 03:03:30 AM03:03AM,31.289731.29,46.227446.23,↖ 319°,492,566,3000030000.0,,FlightAware ADS-B (ORUQ)
131,Wed 03:05:30 AM03:05AM,31.494431.49,46.053746.05,↖ 324°,,,,,Estimated
132,Wed 03:06:32 AM03:06AM,31.600031.60,45.963645.96,↖ 324°,,,,,Estimated
134,Wed 03:07:43 AM03:07AM,31.725931.73,45.786645.79,↖ 319°,499,574,3000030000.0,,FlightAware ADS-B (BSR / ORMM)
135,Wed 03:08:23 AM03:08AM,31.797431.80,45.713845.71,↖ 319°,498,573,3000030000.0,,FlightAware ADS-B (BSR / ORMM)
136,Wed 03:08:53 AM03:08AM,31.850431.85,45.659745.66,↖ 319°,499,574,3000030000.0,,FlightAware ADS-B (BSR / ORMM)
137,Wed 03:09:24 AM03:09AM,31.903231.90,45.605845.61,↖ 319°,499,574,3000030000.0,,FlightAware ADS-B (BSR / ORMM)
138,Wed 03:10:24 AM03:10AM,32.008932.01,45.497545.50,↖ 319°,500,575,3000030000.0,,FlightAware ADS-B (BSR / ORMM)
139,Wed 03:11:25 AM03:11AM,32.112632.11,45.390945.39,↖ 319°,501,577,3000030000.0,,FlightAware ADS-B (BSR / ORMM)
140,Wed 03:12:17 AM03:12AM,32.205632.21,45.295145.30,↖ 319°,500,575,3000030000.0,20.0,FlightAware ADS-B (BSR / ORMM)
142,Wed 03:14:34 AM03:14AM,32.449632.45,45.081945.08,↖ 324°,,,,,Estimated
143,Wed 03:15:37 AM03:15AM,32.561732.56,44.983544.98,↖ 324°,,,,,Estimated
144,Wed 03:17:35 AM03:17AM,32.771532.77,44.798544.80,↖ 323°,,,,,Estimated
145,Wed 03:19:35 AM03:19AM,32.984532.98,44.609544.61,↖ 323°,,,,,Estimated
146,Wed 03:21:35 AM03:21AM,33.197233.20,44.419544.42,↖ 323°,,,,,Estimated
147,Wed 03:22:37 AM03:22AM,33.307033.31,44.321044.32,↖ 323°,,,,,Estimated
148,Wed 03:24:27 AM03:24AM,33.501633.50,44.145744.15,↖ 323°,,,,,Estimated
149,Wed 03:25:32 AM03:25AM,33.616533.62,44.041744.04,↖ 323°,,,,,Estimated
150,Wed 03:27:36 AM03:27AM,33.835533.84,43.842543.84,↖ 323°,,,,,Estimated
151,Wed 03:29:35 AM03:29AM,34.045234.05,43.650443.65,↖ 323°,,,,,Estimated
152,Wed 03:31:28 AM03:31AM,34.244234.24,43.467143.47,↖ 323°,,,,,Estimated
153,Wed 03:33:32 AM03:33AM,34.462234.46,43.265043.27,↖ 323°,,,,,Estimated
154,Wed 03:35:36 AM03:35AM,34.679834.68,43.061843.06,↖ 323°,,,,,Estimated
155,Wed 03:37:33 AM03:37AM,34.884934.88,42.869142.87,↖ 322°,,,,,Estimated
156,Wed 03:38:36 AM03:38AM,34.995235.00,42.765042.77,↖ 322°,,,,,Estimated
157,Wed 03:39:36 AM03:39AM,35.100135.10,42.665542.67,↖ 322°,,,,,Estimated
158,Wed 03:41:36 AM03:41AM,35.309835.31,42.465842.47,↖ 322°,,,,,Estimated
159,Wed 03:43:34 AM03:43AM,35.515635.52,42.268542.27,↖ 322°,,,,,Estimated
160,Wed 03:44:34 AM03:44AM,35.620235.62,42.167742.17,↖ 322°,,,,,Estimated
161,Wed 03:45:35 AM03:45AM,35.726435.73,42.065042.06,↖ 322°,,,,,Estimated
162,Wed 03:47:33 AM03:47AM,35.931635.93,41.865641.87,↖ 322°,,,,,Estimated
163,Wed 03:49:35 AM03:49AM,36.143336.14,41.658341.66,↖ 322°,,,,,Estimated
164,Wed 03:51:31 AM03:51AM,36.344436.34,41.460241.46,↖ 322°,,,,,Estimated
165,Wed 03:52:34 AM03:52AM,36.453436.45,41.352141.35,↖ 321°,,,,,Estimated
166,Wed 03:54:33 AM03:54AM,36.659236.66,41.147241.15,↖ 321°,,,,,Estimated
167,Wed 03:55:37 AM03:55AM,36.769636.77,41.036641.04,↖ 321°,,,,,Estimated
168,Wed 03:57:28 AM03:57AM,36.961036.96,40.843940.84,↖ 321°,,,,,Estimated
169,Wed 03:58:30 AM03:58AM,37.067837.07,40.735940.74,↖ 321°,,,,,Estimated
170,Wed 04:00:29 AM04:00AM,37.272437.27,40.527740.53,↖ 321°,,,,,Estimated
171,Wed 04:02:26 AM04:02AM,37.473337.47,40.321840.32,↖ 321°,,,,,Estimated
172,Wed 04:04:23 AM04:04AM,37.673837.67,40.114940.11,↖ 321°,,,,,Estimated
173,Wed 04:05:23 AM04:05AM,37.776537.78,40.008440.01,↖ 321°,,,,,Estimated
174,Wed 04:06:37 AM04:06AM,37.903037.90,39.876539.88,↖ 321°,,,,,Estimated
175,Wed 04:08:36 AM04:08AM,38.106138.11,39.663639.66,↖ 321°,,,,,Estimated
176,Wed 04:09:37 AM04:09AM,38.210138.21,39.554039.55,↖ 320°,,,,,Estimated
177,Wed 04:11:32 AM04:11AM,38.405838.41,39.346539.35,↖ 320°,,,,,Estimated
178,Wed 04:12:32 AM04:12AM,38.507838.51,39.237839.24,↖ 320°,,,,,Estimated
179,Wed 04:13:36 AM04:13AM,38.616438.62,39.121539.12,↖ 320°,,,,,Estimated
180,Wed 04:15:37 AM04:15AM,38.821638.82,38.900638.90,↖ 320°,,,,,Estimated
181,Wed 04:17:33 AM04:17AM,39.017839.02,38.687838.69,↖ 320°,,,,,Estimated
182,Wed 04:19:25 AM04:19AM,39.206939.21,38.481138.48,↖ 320°,,,,,Estimated
183,Wed 04:21:34 AM04:21AM,39.424339.42,38.241638.24,↖ 320°,,,,,Estimated
184,Wed 04:22:34 AM04:22AM,39.525239.53,38.129838.13,↖ 319°,,,,,Estimated
185,Wed 04:24:35 AM04:24AM,39.728439.73,37.903137.90,↖ 319°,,,,,Estimated
186,Wed 04:26:37 AM04:26AM,39.932939.93,37.673337.67,↖ 319°,,,,,Estimated
187,Wed 04:28:30 AM04:28AM,40.121940.12,37.459237.46,↖ 319°,,,,,Estimated
188,Wed 04:29:31 AM04:29AM,40.223740.22,37.343137.34,↖ 319°,,,,,Estimated
189,Wed 04:30:31 AM04:30AM,40.323740.32,37.228637.23,↖ 319°,,,,,Estimated
190,Wed 04:31:36 AM04:31AM,40.432040.43,37.104237.10,↖ 319°,,,,,Estimated
191,Wed 04:32:37 AM04:32AM,40.533540.53,36.987036.99,↖ 319°,,,,,Estimated
192,Wed 04:33:38 AM04:33AM,40.634940.63,36.869536.87,↖ 319°,,,,,Estimated
193,Wed 04:35:30 AM04:35AM,40.820740.82,36.652836.65,↖ 319°,,,,,Estimated
194,Wed 04:36:34 AM04:36AM,40.926740.93,36.528536.53,↖ 318°,,,,,Estimated
195,Wed 04:38:37 AM04:38AM,41.130041.13,36.288436.29,↖ 318°,,,,,Estimated
196,Wed 04:40:36 AM04:40AM,41.326241.33,36.054636.05,↖ 318°,,,,,Estimated
197,Wed 04:41:36 AM04:41AM,41.425041.42,35.936235.94,↖ 318°,,,,,Estimated
198,Wed 04:43:31 AM04:43AM,41.613941.61,35.708335.71,↖ 318°,,,,,Estimated
199,Wed 04:45:36 AM04:45AM,41.818841.82,35.459135.46,↖ 318°,,,,,Estimated
200,Wed 04:47:37 AM04:47AM,42.016642.02,35.216335.22,↖ 318°,,,,,Estimated
201,Wed 04:49:35 AM04:49AM,42.209042.21,34.978134.98,↖ 318°,,,,,Estimated
202,Wed 04:50:38 AM04:50AM,42.311542.31,34.850334.85,↖ 317°,,,,,Estimated
204,Wed 04:52:30 AM04:52AM,40.161640.16,33.332733.33,← 295°,464,534,3200032000.0,,FlightAware MLAT (5 sites)
206,Wed 04:54:30 AM04:54AM,40.355140.36,33.094133.09,↖ 317°,,,,,Estimated
207,Wed 04:55:34 AM04:55AM,40.458140.46,32.966332.97,↖ 317°,,,,,Estimated
208,Wed 04:57:28 AM04:57AM,40.641240.64,32.737732.74,↖ 317°,,,,,Estimated
209,Wed 04:58:31 AM04:58AM,40.742240.74,32.610932.61,↖ 316°,,,,,Estimated
210,Wed 05:00:38 AM05:00AM,40.945440.95,32.354032.35,↖ 316°,,,,,Estimated
211,Wed 05:02:31 AM05:02AM,41.125741.13,32.124132.12,↖ 316°,,,,,Estimated
213,Wed 05:02:41 AM05:02AM,40.872840.87,31.872231.87,← 303°,464,534,3200032000.0,,FlightAware MLAT (5 sites)
214,Wed 05:03:11 AM05:03AM,40.908040.91,31.800731.80,← 303°,470,541,3200032000.0,,FlightAware MLAT (6 sites)
215,Wed 05:03:44 AM05:03AM,40.946840.95,31.722331.72,← 303°,465,535,3200032000.0,,FlightAware MLAT (4 sites)
216,Wed 05:04:14 AM05:04AM,40.981340.98,31.651031.65,← 303°,472,543,3200032000.0,,FlightAware MLAT (6 sites)
217,Wed 05:04:44 AM05:04AM,41.016141.02,31.579731.58,← 303°,468,539,3200032000.0,,FlightAware MLAT (7 sites)
218,Wed 05:05:17 AM05:05AM,41.055341.06,31.501531.50,← 303°,463,533,3200032000.0,,FlightAware MLAT (6 sites)
219,Wed 05:05:51 AM05:05AM,41.093741.09,31.422131.42,← 303°,462,532,3200032000.0,,FlightAware MLAT (8 sites)
220,Wed 05:06:25 AM05:06AM,41.133841.13,31.338831.34,← 303°,468,539,3200032000.0,6.0,FlightAware MLAT (10 sites)
221,Wed 05:06:56 AM05:06AM,41.170541.17,31.265931.27,← 303°,468,539,3200632006.0,,FlightAware MLAT (4 sites)
222,Wed 05:07:26 AM05:07AM,41.203041.20,31.195731.20,← 303°,453,521,3200032000.0,-6.0,FlightAware MLAT (8 sites)
